"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 23 14:09:56 CST 2021","Fri Jul 23 14:09:56 CST 2021","443","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_040-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""fe70fd95f82256444d8c2c8ee5d815fe586057285efacb2038ef5f49d22e8a19"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"":""""
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""clusterId"": [
            ""网络ID不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626773809982,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:09 CST 2021","Fri Jul 23 14:10:10 CST 2021","537","testcase","test_openApi","TestOpenAPI","","","test_data_query_error[SJCX_020-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7ede925fb2b5fb1a075f6a208504c51449873254b2812cfdbd75c2090569d348"",
    ""legerId"":100000,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/query"",
    ""timestamp"": 1626769771799,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:10:24 CST 2021","Fri Jul 23 14:10:24 CST 2021","-17","testcase","test_openApi","TestOpenAPI","","","test_data_check_right[SJHY_002-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""8fa7b8c4f9dbf2e59dad8507f931fb68c925fd7801b26b7ed2551c467276dc4e"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 200,
    ""msg"": ""成功"",
    ""data"": {
        ""data"": false
    },
    ""timestamp"": 1626763959663,
    ""success"": true
}]",""
"passed","Fri Jul 23 14:09:49 CST 2021","Fri Jul 23 14:09:49 CST 2021","439","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_025-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""73e01cd94017563ea4d334fe665e6910d628d359f65c44286bd97a6e79463595"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"":100000
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626771189971,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:09:33 CST 2021","Fri Jul 23 14:09:33 CST 2021","-40","testcase","test_openApi","TestOpenAPI","","","test_data_save_right[SJSL_002-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""8fa7b8c4f9dbf2e59dad8507f931fb68c925fd7801b26b7ed2551c467276dc4e"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 200,
    ""msg"": ""成功"",
    ""data"": {
        ""data"": ""75434c80cc54fbb2a6a83130b152e649b4f63dc6a12ae7996ed1aa91871d275f""
    },
    ""timestamp"": 1626763865025,
    ""success"": true
}]",""
"passed","Fri Jul 23 14:10:32 CST 2021","Fri Jul 23 14:10:33 CST 2021","632","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_013-{ ""data"":{""idcardno"":""110105200101024845"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""7b9ff2e32779963985d5e6d057a5e1b0c196f83ab63649e49dff41e87bad2635"",
    ""legerId"": 52,
    ""chainId"":56,
    ""appId"": ""nd2GFm"",
    ""clusterId"": 61
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626767981419,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:55 CST 2021","Fri Jul 23 14:09:56 CST 2021","461","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_039-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d7a971fd72ad6d5d5950158c362ae97398528808df7e827ea50ea797fbd23e55"",
    ""legerId"":48,
    ""chainId"":49,
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""appId"": [
            ""应用ID不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626773707965,
    ""success"": false
}]",""
"failed","Fri Jul 23 14:09:58 CST 2021","Fri Jul 23 14:09:58 CST 2021","-36","testcase","test_openApi","TestOpenAPI","","","test_data_query_right[SJCX_003-{ ""data"":{""idcardno"":""110105200001024952"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""af232a3176be2c0ba1f2efb226d4bd481dfe2a1b4a37df80a49785eec95ab833"",
    ""legerId"": 48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 200,
    ""msg"": ""成功"",
    ""data"": {
        ""data"": {}
    },
    ""timestamp"": 1626764091270,
    ""success"": true
}]",""
"passed","Fri Jul 23 14:09:53 CST 2021","Fri Jul 23 14:09:53 CST 2021","448","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_033-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""sign"": [
            ""数据签名不能为空""
        ]
    },
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626773164870,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:10:49 CST 2021","Fri Jul 23 14:10:50 CST 2021","706","testcase","test_openApi","TestOpenAPI","","","test_data_check_error[SJHY_037-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""81d219894322ee42ba838a821af6fa6c03cee81f79a7cde5eec1ccb3df6b5414"",
    ""legerId"":48,
    ""chainId"":"""",
    ""appId"": ""rRHm0G"",
    ""clusterId"": 60
}-{
    ""code"": 901,
    ""msg"": ""参数错误"",
    ""data"": {
        ""chainId"": [
            ""子链ID不能为空""
        ]
    },
    ""path"": ""/rest/data/check"",
    ""timestamp"": 1626773541580,
    ""success"": false
}]",""
"passed","Fri Jul 23 14:09:48 CST 2021","Fri Jul 23 14:09:48 CST 2021","430","testcase","test_openApi","TestOpenAPI","","","test_data_save_error[SJSL_023-{ ""data"":{""idcardno"":""110105200001029753"",""sex"":""男"",""birthday"":""2000-01-02""},
    ""nonce"": ""one3874"",
    ""timestamp"": 1941761698000,
    ""sign"": ""d5fc836526c9b2a3e2e7aad5f4eead8e0ca021382200f9329b5e7752df5fb2ec"",
    ""legerId"":48,
    ""chainId"":49,
    ""appId"": ""rRHm0g"",
    ""clusterId"": 60
}-{
    ""code"": 401,
    ""msg"": ""无权限访问"",
    ""path"": ""/rest/data/save"",
    ""timestamp"": 1626770817768,
    ""success"": false
}]",""
